Date,Narration,Debit,Credit,Category
04/09/25,UPI/PAYMENT INVENTORY SUPPLIER,35648,,Inventory
07/09/25,ECS DEBIT-RENTAL PAYMENT MAR 2026,15758,,Rent
09/09/25,UPI/SALARY TRANSFER PRIYA SHAH,15048,,Salaries
10/09/25,UPI/PAYMENT GOOGLE ADS INDIA,6085,,Marketing
12/09/25,NEFT CR-ICICI0005678-ONLINE MARKETPLACE PAYOUT,,30843,Sales
12/09/25,ECS DEBIT-RENTAL PAYMENT JAN 2026,15423,,Rent
14/09/25,IMPS/PURCHASE INVENTORY MUMBAI SUPPLIERS,16555,,Inventory
15/09/25,UPI/PAYMENT TO VENDOR SHARMA TRADERS/REF123,18702,,Inventory
18/09/25,NEFT CR-HDFC0001234-CLIENT PAYMENTS LTD,,49486,Sales
19/09/25,NEFT CR-SBI0009876-AMAZON SELLER PAYOUT,,42262,Sales
20/09/25,NEFT CR-PNB0007777-MEESHO PAYOUT,,28393,Sales
23/09/25,NEFT CR-AXIS000999-CLIENT B PAYMENT,,61502,Services
24/09/25,UPI/PAYMENT GOOGLE ADS INDIA,5832,,Marketing
26/09/25,UPI/SALARY TRANSFER RAVI KUMAR,14905,,Salaries
28/09/25,UPI/SALARY TRANSFER RAVI KUMAR,13558,,Salaries
29/09/25,NEFT CR-AXIS000999-CLIENT B PAYMENT,,57969,Services
30/09/25,NACH DEBIT-ELECTRICITY BOARD MSEB,5210,,Utilities
01/10/25,NACH DEBIT-ELECTRICITY BOARD MSEB,5350,,Utilities
02/10/25,UPI/SALARY TRANSFER RAVI KUMAR,13214,,Salaries
02/10/25,NACH DEBIT-ELECTRICITY BOARD MSEB,4894,,Utilities
03/10/25,UPI/SALARY TRANSFER PRIYA SHAH,15896,,Salaries
05/10/25,NACH DEBIT-ELECTRICITY BOARD MSEB,5436,,Utilities
08/10/25,ECS DEBIT-RENTAL PAYMENT JAN 2026,14242,,Rent
09/10/25,NEFT CR-PNB0007777-MEESHO PAYOUT,,28531,Sales
11/10/25,UPI/SALARY TRANSFER PRIYA SHAH,15380,,Salaries
11/10/25,UPI/PAYMENT GOOGLE ADS INDIA,5814,,Marketing
12/10/25,UPI/SALARY TRANSFER RAVI KUMAR,15112,,Salaries
14/10/25,UPI/SALARY TRANSFER PRIYA SHAH,14219,,Salaries
14/10/25,ECS DEBIT-RENTAL PAYMENT JAN 2026,13762,,Rent
15/10/25,NEFT CR-PNB0007777-MEESHO PAYOUT,,25191,Sales
16/10/25,UPI/SALARY TRANSFER RAVI KUMAR,14586,,Salaries
17/10/25,UPI/SALARY TRANSFER RAVI KUMAR,15093,,Salaries
18/10/25,UPI/SALARY TRANSFER PRIYA SHAH,15649,,Salaries
18/10/25,NEFT CR-ICICI0005678-ONLINE MARKETPLACE PAYOUT,,29551,Sales
20/10/25,NEFT CR-PNB0007777-MEESHO PAYOUT,,26584,Sales
20/10/25,UPI/SALARY TRANSFER RAVI KUMAR,13231,,Salaries
24/10/25,UPI/SALARY TRANSFER RAVI KUMAR,14692,,Salaries
26/10/25,NEFT CR-PNB0007777-MEESHO PAYOUT,,33332,Sales
26/10/25,NEFT CR-HDFC0001234-CLIENT PAYMENTS LTD,,40920,Sales
26/10/25,NEFT CR-KOTAK0003333-BULK ORDER CLIENT C,,86869,Sales
28/10/25,NEFT CR-AXIS000999-CLIENT B PAYMENT,,57340,Services
28/10/25,ECS DEBIT-RENTAL PAYMENT MAR 2026,17118,,Rent
30/10/25,NACH DEBIT-ELECTRICITY BOARD MSEB,5525,,Utilities
31/10/25,UPI/SALARY TRANSFER RAVI KUMAR,12755,,Salaries
31/10/25,ECS DEBIT-RENTAL PAYMENT FEB 2026,17151,,Rent
31/10/25,NEFT CR-SBI0009876-AMAZON SELLER PAYOUT,,38041,Sales
03/11/25,NEFT CR-SBI0009876-AMAZON SELLER PAYOUT,,39558,Sales
04/11/25,IMPS/PURCHASE INVENTORY MUMBAI SUPPLIERS,15242,,Inventory
07/11/25,NEFT CR-KOTAK0003333-BULK ORDER CLIENT C,,74502,Sales
08/11/25,UPI/PAYMENT GOOGLE ADS INDIA,6604,,Marketing
08/11/25,NEFT CR-HDFC0001234-CLIENT PAYMENTS LTD,,40640,Sales
13/11/25,UPI/SALARY TRANSFER PRIYA SHAH,16038,,Salaries
15/11/25,ECS DEBIT-RENTAL PAYMENT FEB 2026,14700,,Rent
16/11/25,UPI/PAYMENT GOOGLE ADS INDIA,6217,,Marketing
16/11/25,ECS DEBIT-RENTAL PAYMENT JAN 2026,16067,,Rent
17/11/25,NEFT CR-PNB0007777-MEESHO PAYOUT,,31793,Sales
17/11/25,UPI/PAYMENT INVENTORY SUPPLIER,31149,,Inventory
18/11/25,UPI/SALARY TRANSFER PRIYA SHAH,13227,,Salaries
20/11/25,UPI/SALARY TRANSFER RAVI KUMAR,15763,,Salaries
22/11/25,UPI/SALARY TRANSFER RAVI KUMAR,15432,,Salaries
24/11/25,UPI/SALARY TRANSFER PRIYA SHAH,12692,,Salaries
24/11/25,NACH DEBIT-ELECTRICITY BOARD MSEB,5842,,Utilities
25/11/25,ECS DEBIT-RENTAL PAYMENT FEB 2026,16975,,Rent
26/11/25,NEFT CR-AXIS000999-CLIENT B PAYMENT,,65648,Services
26/11/25,NACH DEBIT-ELECTRICITY BOARD MSEB,4108,,Utilities
27/11/25,NACH DEBIT-ELECTRICITY BOARD MSEB,4563,,Utilities
27/11/25,NEFT CR-PNB0007777-MEESHO PAYOUT,,30683,Sales
30/11/25,ECS DEBIT-RENTAL PAYMENT MAR 2026,14784,,Rent
02/12/25,NEFT CR-ICICI0005678-ONLINE MARKETPLACE PAYOUT,,36927,Sales
06/12/25,UPI/SALARY TRANSFER RAVI KUMAR,12237,,Salaries
09/12/25,UPI/PAYMENT TO VENDOR SHARMA TRADERS/REF123,22503,,Inventory
10/12/25,UPI/SALARY TRANSFER PRIYA SHAH,14318,,Salaries
12/12/25,ECS DEBIT-RENTAL PAYMENT FEB 2026,14995,,Rent
13/12/25,UPI/SALARY TRANSFER RAVI KUMAR,14436,,Salaries
16/12/25,IMPS/PURCHASE INVENTORY MUMBAI SUPPLIERS,15286,,Inventory
18/12/25,UPI/SALARY TRANSFER PRIYA SHAH,15567,,Salaries
20/12/25,UPI/PAYMENT GOOGLE ADS INDIA,6573,,Marketing
20/12/25,UPI/PAYMENT GOOGLE ADS INDIA,5754,,Marketing
21/12/25,ECS DEBIT-RENTAL PAYMENT FEB 2026,13453,,Rent
24/12/25,NEFT CR-HDFC0001234-CLIENT PAYMENTS LTD,,43581,Sales
25/12/25,ECS DEBIT-RENTAL PAYMENT JAN 2026,16405,,Rent
26/12/25,UPI/PAYMENT GOOGLE ADS INDIA,6198,,Marketing
27/12/25,UPI/PAYMENT TO VENDOR SHARMA TRADERS/REF123,22931,,Inventory
28/12/25,UPI/SALARY TRANSFER PRIYA SHAH,15872,,Salaries
28/12/25,UPI/PAYMENT TO VENDOR SHARMA TRADERS/REF123,21214,,Inventory
31/12/25,NACH DEBIT-ELECTRICITY BOARD MSEB,4732,,Utilities
01/01/26,NEFT CR-PNB0007777-MEESHO PAYOUT,,28293,Sales
03/01/26,UPI/PAYMENT GOOGLE ADS INDIA,6671,,Marketing
03/01/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5653,,Utilities
05/01/26,NACH DEBIT-ELECTRICITY BOARD MSEB,4685,,Utilities
05/01/26,ECS DEBIT-RENTAL PAYMENT JAN 2026,13837,,Rent
06/01/26,NEFT CR-AXIS000999-CLIENT B PAYMENT,,66418,Services
06/01/26,UPI/PAYMENT GOOGLE ADS INDIA,5445,,Marketing
07/01/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5488,,Utilities
08/01/26,UPI/PAYMENT TO VENDOR SHARMA TRADERS/REF123,22717,,Inventory
09/01/26,NEFT CR-PNB0007777-MEESHO PAYOUT,,25789,Sales
11/01/26,UPI/SALARY TRANSFER RAVI KUMAR,12141,,Salaries
13/01/26,UPI/SALARY TRANSFER RAVI KUMAR,13972,,Salaries
13/01/26,UPI/SALARY TRANSFER PRIYA SHAH,12706,,Salaries
14/01/26,ECS DEBIT-RENTAL PAYMENT FEB 2026,16282,,Rent
15/01/26,UPI/SALARY TRANSFER RAVI KUMAR,15534,,Salaries
18/01/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5778,,Utilities
19/01/26,ECS DEBIT-RENTAL PAYMENT MAR 2026,14605,,Rent
20/01/26,ECS DEBIT-RENTAL PAYMENT JAN 2026,14217,,Rent
22/01/26,UPI/SALARY TRANSFER PRIYA SHAH,14695,,Salaries
23/01/26,NEFT CR-ICICI0005678-ONLINE MARKETPLACE PAYOUT,,38951,Sales
24/01/26,UPI/SALARY TRANSFER PRIYA SHAH,13386,,Salaries
25/01/26,NEFT CR-AXIS000999-CLIENT B PAYMENT,,62928,Services
27/01/26,NACH DEBIT-ELECTRICITY BOARD MSEB,4828,,Utilities
29/01/26,ECS DEBIT-RENTAL PAYMENT FEB 2026,14471,,Rent
29/01/26,NEFT CR-ICICI0005678-ONLINE MARKETPLACE PAYOUT,,35226,Sales
