Date,Description,Amount,Type,Category
2025-09-02,Dine-in Revenue - New Year,47476,income,Sales
2025-09-02,Restaurant Rent,18383,expense,Rent
2025-09-03,Gas & Electricity Bill,10628,expense,Utilities
2025-09-05,Restaurant Rent,22691,expense,Rent
2025-09-08,Food Delivery Apps Payout,43288,income,Sales
2025-09-08,Dine-in Revenue - New Year,48886,income,Sales
2025-09-09,Dine-in Revenue - March Week 1,44912,income,Sales
2025-09-10,Gas & Electricity Bill,7261,expense,Utilities
2025-09-11,Catering Order - Corporate Event,56440,income,Services
2025-09-12,New Kitchen Equipment - Fryer,21422,expense,Equipment
2025-09-13,Raw Material Purchase,17590,expense,Inventory
2025-09-14,Dine-in Revenue - March Week 1,50566,income,Sales
2025-09-15,Chef & Staff Salaries,31578,expense,Salaries
2025-09-17,Food Delivery Apps Payout,40509,income,Sales
2025-09-17,Instagram Ad Campaign,3998,expense,Marketing
2025-09-20,Raw Material Purchase,18172,expense,Inventory
2025-09-21,Bulk Catering Order - Wedding,83746,income,Services
2025-09-21,Raw Material Purchase,14385,expense,Inventory
2025-09-22,Valentine Day Special Revenue,68275,income,Sales
2025-09-27,Gas & Electricity Bill,8856,expense,Utilities
2025-09-28,Raw Material Purchase - Vegetables & Spices,10716,expense,Inventory
2025-09-28,Gas & Electricity Bill,9932,expense,Utilities
2025-09-28,Restaurant Rent,19303,expense,Rent
2025-09-29,Chef & Staff Salaries,32510,expense,Salaries
2025-09-29,Zomato Delivery Payout,24694,income,Sales
2025-10-01,Chef & Staff Salaries,31685,expense,Salaries
2025-10-03,Raw Material Purchase,18079,expense,Inventory
2025-10-04,Swiggy Delivery Payout,17342,income,Sales
2025-10-07,Raw Material Purchase,18804,expense,Inventory
2025-10-07,Gas & Electricity Bill,7005,expense,Utilities
2025-10-10,Food Delivery Apps Payout,44620,income,Sales
2025-10-10,Gas & Electricity Bill,8736,expense,Utilities
2025-10-11,Chef & Staff Salaries,31083,expense,Salaries
2025-10-11,Catering Order - Corporate Event,61945,income,Services
2025-10-12,Raw Material Purchase - Vegetables & Spices,12742,expense,Inventory
2025-10-14,Zomato Delivery Payout,21545,income,Sales
2025-10-15,Restaurant Rent,21203,expense,Rent
2025-10-16,Chef & Staff Salaries,37330,expense,Salaries
2025-10-18,Restaurant Rent,18503,expense,Rent
2025-10-21,Raw Material Purchase,16825,expense,Inventory
2025-10-25,Chef & Staff Salaries,31403,expense,Salaries
2025-10-28,Restaurant Rent,17343,expense,Rent
2025-10-28,Restaurant Rent,20314,expense,Rent
2025-10-31,Raw Material Purchase,19699,expense,Inventory
2025-11-03,Restaurant Rent,21322,expense,Rent
2025-11-04,Valentine Day Special Revenue,64582,income,Sales
2025-11-05,Chef & Staff Salaries,31533,expense,Salaries
2025-11-07,Raw Material Purchase - Meat & Dairy,14678,expense,Inventory
2025-11-09,Gas & Electricity Bill,9525,expense,Utilities
2025-11-09,Raw Material Purchase - Meat & Dairy,14968,expense,Inventory
2025-11-10,Raw Material Purchase,18750,expense,Inventory
2025-11-13,Dine-in Revenue - New Year,51388,income,Sales
2025-11-15,Packaging Material,3257,expense,Inventory
2025-11-16,Raw Material Purchase,15676,expense,Inventory
2025-11-16,Chef & Staff Salaries,32037,expense,Salaries
2025-11-17,Raw Material Purchase - Meat & Dairy,14259,expense,Inventory
