Date,Description,Amount,Type,Category
2025-09-02,Mobile App UI Project,64074,income,Services
2025-09-08,Professional Course - Udemy,2600,expense,Software
2025-09-08,Laptop SSD Upgrade,7135,expense,Equipment
2025-09-09,Content Writing Contract,21719,income,Services
2025-09-13,SEO Audit Project - Client B,31247,income,Services
2025-09-14,Web Development Project - Client A,82690,income,Services
2025-09-15,SEO Audit Project - Client B,35027,income,Services
2025-09-16,Social Media Marketing Consultation,24437,income,Services
2025-09-16,Web Development Project - Client A,76649,income,Services
2025-09-18,E-commerce Redesign Project,70827,income,Services
2025-09-18,Home Office Internet Bill,1575,expense,Utilities
2025-09-20,Income Tax Advance Payment,19517,expense,Taxes
2025-09-23,Web Development Project - Client A,73413,income,Services
2025-09-25,Adobe CC + Notion Subscriptions,5450,expense,Software
2025-09-28,Professional Course - Udemy,2956,expense,Software
2025-09-28,Web Development Project - Client A,73581,income,Services
2025-09-29,SEO Audit Project - Client B,32858,income,Services
2025-10-01,React App Development - Client C,98831,income,Services
2025-10-01,SEO Audit Project - Client B,32171,income,Services
2025-10-03,Software Subscriptions,5323,expense,Software
2025-10-04,GST Filing Fee - CA,3913,expense,Taxes
2025-10-04,Social Media Marketing Consultation,27548,income,Services
2025-10-05,Social Media Marketing Consultation,24198,income,Services
2025-10-06,Brand Identity Project - Startup B,44699,income,Services
2025-10-08,Home Office Internet Bill,2032,expense,Utilities
2025-10-11,E-commerce Redesign Project,73228,income,Services
2025-10-12,Content Writing Contract,22690,income,Services
2025-10-12,Logo Design Project - Startup,18034,income,Services
2025-10-13,Laptop SSD Upgrade,6647,expense,Equipment
2025-10-13,React App Development - Client C,79004,income,Services
2025-10-14,Professional Course - Udemy,2788,expense,Software
2025-10-14,Professional Course - Udemy,2696,expense,Software
2025-10-15,Income Tax Advance Payment,20495,expense,Taxes
2025-10-15,E-commerce Redesign Project,71895,income,Services
2025-10-16,React App Development - Client C,78506,income,Services
2025-10-18,SEO Audit Project - Client B,34307,income,Services
2025-10-19,SEO Audit Project - Client B,37504,income,Services
2025-10-21,Brand Identity Project - Startup B,48351,income,Services
2025-10-22,External Hard Drive - Backup,4148,expense,Equipment
2025-10-23,SEO Audit Project - Client B,31033,income,Services
2025-10-23,Professional Course - Udemy,2880,expense,Software
2025-10-23,External Hard Drive - Backup,3473,expense,Equipment
2025-10-23,Social Media Marketing Consultation,26823,income,Services
2025-10-25,Logo Design Project - Startup,18906,income,Services
2025-10-26,Adobe Creative Cloud Subscription,3937,expense,Software
2025-10-27,Mobile App UI Project,67222,income,Services
2025-10-29,Brand Identity Project - Startup B,43249,income,Services
2025-10-30,Home Office Internet Bill,1672,expense,Utilities
2025-10-31,Social Media Marketing Consultation,24781,income,Services
2025-11-01,Software Subscriptions,4913,expense,Software
2025-11-01,Home Office Internet Bill,1799,expense,Utilities
2025-11-02,E-commerce Redesign Project,81331,income,Services
2025-11-02,Home Office Internet Bill,1530,expense,Utilities
2025-11-05,Income Tax Advance Payment,20533,expense,Taxes
2025-11-05,React App Development - Client C,85904,income,Services
2025-11-06,React App Development - Client C,87992,income,Services
2025-11-07,Home Office Internet Bill,1761,expense,Utilities
2025-11-08,Logo Design Project - Startup,17345,income,Services
2025-11-10,Professional Course - Udemy,2645,expense,Software
2025-11-12,Home Office Internet Bill,1954,expense,Utilities
2025-11-12,Income Tax Advance Payment,19968,expense,Taxes
2025-11-13,React App Development - Client C,102379,income,Services
2025-11-14,GST Filing Fee - CA,3768,expense,Taxes
2025-11-15,External Hard Drive - Backup,3832,expense,Equipment
2025-11-15,E-commerce Redesign Project,76687,income,Services
2025-11-17,Professional Course - Udemy,2938,expense,Software
2025-11-17,GST Filing Fee - CA,3840,expense,Taxes
2025-11-17,Adobe CC + Notion Subscriptions,5108,expense,Software
2025-11-19,Income Tax Advance Payment,15611,expense,Taxes
2025-11-19,GitHub Copilot & Tools,1723,expense,Software
2025-11-20,Adobe Creative Cloud Subscription,3672,expense,Software
2025-11-21,SEO Audit Project - Client B,30356,income,Services
2025-11-21,Home Office Internet Bill,1936,expense,Utilities
2025-11-25,Income Tax Advance Payment,20360,expense,Taxes
2025-11-26,Professional Course - Udemy,2697,expense,Software
2025-11-26,Adobe CC + Notion Subscriptions,5698,expense,Software
2025-11-26,SEO Audit Project - Client B,32939,income,Services
2025-11-27,Mobile App UI Project,68262,income,Services
2025-11-28,Adobe Creative Cloud Subscription,4696,expense,Software
2025-11-29,UX/UI Design Retainer - Client D,44771,income,Services
2025-11-30,Home Office Internet Bill,1785,expense,Utilities
2025-11-30,Figma Pro Annual Plan,2685,expense,Software
2025-12-01,React App Development - Client C,83112,income,Services
2025-12-02,Professional Course - Udemy,3371,expense,Software
2025-12-05,Brand Identity Project - Startup B,47488,income,Services
2025-12-08,Web Development Project - Client A,67246,income,Services
2025-12-08,Adobe CC + Notion Subscriptions,4451,expense,Software
